Matchcode,Resistance,Start of outbreak,Duration (days),Country,Lat,Long,Cases (patient),Cases (HCW),Transmission,Molecular Evidence,Comments
Klebsiella-1977-Cas-928,GRKA,1977.00,150.00,"London, UK",,,17,2,unk,no,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Klebsiella pneumoniae,,,,,,,,,,
,Klebsiella oxytoca,,,,,,,,,,
KA,Klebsiella aerogenes,,,,,,,,,,
,,,,,,,,,,,
G,Gentamicin,,,,,,,,,,
P,Piperacillin,,,,,,,,,,
ESBL,Klebsiella oxytoca Extended Spectrum Beta-Lactamase producing (ESBL),,,,,,,,,,
c,cephalothin.,,,,,,,,,,
